DRE,Mês de competência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categoria,Jan/2021,Fev/2021,Mar/2021,Abr/2021,Mai/2021,Jun/2021,Jul/2021,Ago/2021,Set/2021,Out/2021,Nov/2021,Dez/2021,Jan/2022,Fev/2022,Mar/2022,Abr/2022,Mai/2022,Jun/2022,Jul/2022,Ago/2022,Set/2022,Out/2022,Nov/2022,Dez/2022,Jan/2023,Fev/2023,Mar/2023,Abr/2023,Mai/2023,Jun/2023,Jul/2023,Ago/2023,Set/2023,Out/2023,Nov/2023,Dez/2023,Jan/2024,Fev/2024,Mar/2024,Abr/2024,Mai/2024,Jun/2024,Jul/2024,Ago/2024,Set/2024,Out/2024,Nov/2024,Dez/2024,Jan/2025,Fev/2025,Mar/2025,Abr/2025,Mai/2025,Jun/2025,Jul/2025,Ago/2025,Set/2025,Out/2025,Nov/2025,Dez/2025,Jan/2026,Valor
02.2 Comissões Sobre Vendas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.231,22","-8.000,00","-32.000,00","-8.000,00","-8.000,00","-8.000,00","0,00","-5.600,00","0,00","-400,00","0,00","-4.400,00","-5.400,00","-2.400,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-6.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-26.250,00","0,00","0,00","-34.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-151.181,22"
Comissões de Vendedores,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.231,22","-8.000,00","-32.000,00","-8.000,00","-8.000,00","-8.000,00","0,00","-5.600,00","0,00","-400,00","0,00","-4.400,00","-5.400,00","-2.400,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-6.500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-26.250,00","0,00","0,00","-34.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-151.181,22"
02.3 Descontos Incondicionais,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Sem lançamentos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02.4 Devoluções de Vendas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Sem lançamentos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
02T Receita Líquida de Vendas,"0,00","51.898,22","30.921,30","28.157,85","96.861,83","41.216,46","90.424,71","46.291,55","66.910,86","-776,73","19.419,64","70.574,89","56.031,66","68.738,60","63.498,60","74.380,54","99.293,11","116.378,56","132.154,98","137.080,52","94.501,83","103.952,36","103.865,75","103.738,16","103.311,76","103.257,11","103.226,51","103.174,31","103.135,10","103.092,43","103.073,14","105.618,14","125.923,97","101.197,84","125.338,71","116.163,35","127.560,13","130.885,11","129.656,24","125.252,29","125.830,08","164.804,98","98.055,74","128.223,15","136.624,22","141.626,14","172.408,74","193.139,79","186.567,21","131.116,14","151.788,81","143.214,87","167.138,28","139.180,82","193.626,08","201.831,46","155.931,44","167.353,59","157.847,90","157.943,89","129.575,24","6.749.209,96"
03 Custos Operacionais,"-1.200,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-2.158,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-220,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-453,23","-10.602,00","-1.246,25","0,00","0,00","0,00","0,00","0,00","-450,00","-4.750,00","0,00","0,00","-14.550,00","-11.500,00","-11.500,00","-13.500,00","-12.000,00","-18.500,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-12.000,00","-14.000,00","-12.000,00","-2.000,00","-2.000,00","-204.630,28"
03.1 Custo dos Produtos Vendidos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Custo dos produtos vendidos,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
