Vendedor;Cliente;Venda;Data;Valor;
Rodrigo;"COOPERATIVA AGRO PECUARIA DO VALE DO PARACATU LTDA";"Venda 266";"04/03/2022";"R$ 6692,00";
Rodrigo;"MIRIAN MIRITITUBA AUTO POSTO LTDA";"Venda 265";"01/03/2022";"R$ 6149,71";
Rodrigo;"POSTO MIRIAN BARCARENA";"Venda 264";"01/03/2022";"R$ 2564,71";
Rodrigo;"POSTO MIRIAN 10";"Venda 263";"01/03/2022";"R$ 2564,71";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M2";"Venda 262";"01/03/2022";"R$ 6149,71";
Rodrigo;"MIRIAN MATUPA AUTO POSTO LTDA";"Venda 261";"01/03/2022";"R$ 2564,71";
Rodrigo;"MIRIAN VARZEA GRANDE AUTO POSTO LTDA";"Venda 260";"01/03/2022";"R$ 6149,71";
Rodrigo;"TRANSPORTADORA BATISTA LTDA";"Venda 259";"01/03/2022";"R$ 2000,00";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M1";"Venda 258";"01/03/2022";"R$ 2564,71";
Rodrigo;"MIRIAN CANDEIAS AUTO POSTO COMERCIO DE COMBUSTIVEIS LUBRIFICANTES E GAS";"Venda 257";"01/03/2022";"R$ 6149,71";
Rodrigo;"MIRIAN ITAITUBA AUTO POSTO LTDA";"Venda 256";"01/03/2022";"R$ 2564,71";
Rodrigo;"G3 PARTICIPACOES LTDA";"Venda 255";"28/02/2022";"R$ 2475,00";
Rodrigo;"POSTO TREVO JATAI LTDA - ME";"Venda 254";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO ITAITUBA KM 30 LTDA";"Venda 253";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO SORRISO LTDA";"Venda 252";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO RONDONOPOLIS LTDA";"Venda 251";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO CUBATAO LTDA - ME";"Venda 250";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO BARREIRAS LTDA";"Venda 249";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO SAO JOSE DOS PINHAIS LTDA";"Venda 248";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PRIMAVERA LTDA";"Venda 247";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO CUIABA LTDA";"Venda 246";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO MARINGA LTDA";"Venda 245";"20/02/2022";"R$ 2564,71";
Rodrigo;"ALDO RODOVIA DOS IMIGRANTES LTDA";"Venda 244";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PRESIDENTE VENCESLAU LTDA";"Venda 243";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO MANGUEIRAS LTDA";"Venda 242";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO LINHO LTDA";"Venda 241";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PORTO FRANCO";"Venda 240";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PARANAGUA I LTDA";"Venda 239";"20/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO JATAI INDUSTRIAL LTDA";"Venda 238";"20/02/2022";"R$ 2564,71";
Rodrigo;"GA SERVICE - GESTAO ADIMINISTRATIVA LTDA";"Venda 237";"10/02/2022";"R$ 4000,00";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M2";"Venda 236";"01/02/2022";"R$ 6149,71";
Rodrigo;"POSTO MIRIAN BARCARENA";"Venda 235";"01/02/2022";"R$ 2564,71";
Rodrigo;"MIRIAN ITAITUBA AUTO POSTO LTDA";"Venda 234";"01/02/2022";"R$ 2564,71";
Rodrigo;"MIRIAN MATUPA AUTO POSTO LTDA";"Venda 233";"01/02/2022";"R$ 2564,71";
Rodrigo;"MIRIAN VARZEA GRANDE AUTO POSTO LTDA";"Venda 232";"01/02/2022";"R$ 6149,71";
Rodrigo;"MIRIAN CANDEIAS AUTO POSTO COMERCIO DE COMBUSTIVEIS LUBRIFICANTES E GAS";"Venda 231";"01/02/2022";"R$ 6149,71";
Rodrigo;"MIRIAN MIRITITUBA AUTO POSTO LTDA";"Venda 230";"01/02/2022";"R$ 6149,71";
Rodrigo;"TRANSPORTADORA BATISTA LTDA";"Venda 229";"01/02/2022";"R$ 2000,00";
Rodrigo;"POSTO MIRIAN 10";"Venda 228";"01/02/2022";"R$ 2564,71";
Rodrigo;"AUTO POSTO IRMÃOS BATISTA LTDA - M1";"Venda 227";"01/02/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PARANAGUA I LTDA";"Venda 226";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO CUBATAO LTDA - ME";"Venda 225";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO CUIABA LTDA";"Venda 224";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO ITAITUBA KM 30 LTDA";"Venda 223";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO LINHO LTDA";"Venda 222";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO MANGUEIRAS LTDA";"Venda 221";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO JATAI INDUSTRIAL LTDA";"Venda 220";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PRIMAVERA LTDA";"Venda 219";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO MARINGA LTDA";"Venda 218";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PORTO FRANCO";"Venda 217";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO SORRISO LTDA";"Venda 216";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO PRESIDENTE VENCESLAU LTDA";"Venda 215";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO TREVO JATAI LTDA - ME";"Venda 214";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO SAO JOSE DOS PINHAIS LTDA";"Venda 213";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO BARREIRAS LTDA";"Venda 212";"20/01/2022";"R$ 2564,71";
Rodrigo;"POSTO ALDO RONDONOPOLIS LTDA";"Venda 211";"20/01/2022";"R$ 2564,71";
Rodrigo;"ALDO RODOVIA DOS IMIGRANTES LTDA";"Venda 210";"20/01/2022";"R$ 2564,71";
Rodrigo;"GA SERVICE - GESTAO ADIMINISTRATIVA LTDA";"Venda 209";"10/01/2022";"R$ 4000,00";
Rodrigo;"G3 PARTICIPACOES LTDA";"Venda 208";"06/01/2022";"R$ 59750,00";
Rodrigo;"POSTO ALDO PRESIDENTE VENCESLAU LTDA";"Venda 207";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO LINHO LTDA";"Venda 206";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO MARINGA LTDA";"Venda 205";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO TREVO JATAI LTDA - ME";"Venda 204";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO CUIABA LTDA";"Venda 203";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO RONDONOPOLIS LTDA";"Venda 202";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO ITAITUBA KM 30 LTDA";"Venda 201";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO JATAI INDUSTRIAL LTDA";"Venda 200";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO PRIMAVERA LTDA";"Venda 199";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO CUBATAO LTDA - ME";"Venda 198";"20/12/2021";"R$ 2564,71";
Rodrigo;"ALDO RODOVIA DOS IMIGRANTES LTDA";"Venda 197";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO MANGUEIRAS LTDA";"Venda 196";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO BARREIRAS LTDA";"Venda 195";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO PORTO FRANCO";"Venda 194";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO SORRISO LTDA";"Venda 193";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO PARANAGUA I LTDA";"Venda 192";"20/12/2021";"R$ 2564,71";
Rodrigo;"POSTO ALDO SAO JOSE DOS PINHAIS LTDA";"Venda 191";"20/12/2021";"R$ 2564,71";
Rodrigo;"GA SERVICE - GESTAO ADIMINISTRATIVA LTDA";"Venda 190";"16/12/2021";"R$ 41825,00";
